sno,brand,model,reference,year,serial_number,price_usd,dial_color,case_material,case_diameter,movement_type,bracelet_color,bracelet_material,water_resistance,power_reserve,description,product_image_url,
60,Rolex,Daytona,126500ln,2026,,28390,Black,Steel,40,Automatic,Steel,Steel,,72 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126500ln-0002",
80,Rolex,Rolex GMT-Master II,126720VTNR ,2020,,15890,Black,Steel,40 ,Automatic,Steel,Steel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126720vtnr-0001",
111,Rolex,GMT-Master II,126710GRNR,2025,,21150,Black,Steel Steel,40 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126710grnr-0004",
165,Rolex,Daytona,126500ln,2024,,38997,White,Steel Steel,40 ,Automatic,Steel,Steel Steel,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126500ln-0002",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0001",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0008",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0004",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0002",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0007",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0006",
179,Rolex,Sky-Dweller,336935,2025,,68495,Blue,Rose gold Rose gold,42 ,Automatic,Gold,Rose gold Rose gold,,72,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m336935-0003",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0022",
