sno,brand,model,reference,year,serial_number,price_usd,dial_color,case_material,case_diameter,movement_type,bracelet_color,bracelet_material,water_resistance,power_reserve,description,product_image_url,
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0017",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0035",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0006",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0034",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0013",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0005",
34,Rolex,Datejust 41,126334,2025,,11904.16,Bright blue,Oystersteel,41,Self winding,Oyster,Oystersteel,,70 h,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0009",
,Rolex,Explorer 40,224270,2024,,"8,298.32",black,Oystersteel,40,Self winding,Oyster,Oystersteel,,,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m224270-0001",
,Rolex,Explorer 40,224270,2024,,"8,298.32",black,Oystersteel,40,Self winding,Oyster,Oystersteel,,,,https://d5ee3ksv7elb9.cloudfront.net/user_documents/1776253061_15484.png,
,Rolex,Explorer 40,224270,2024,,"8,298.32",black,Oystersteel,40,Self winding,Oyster,Oystersteel,,,,https://d5ee3ksv7elb9.cloudfront.net/user_documents/1776253081_48320.png,
,Rolex,Yacht-Master 37,268622,,,"12,343.14",Slate,Oystersteel,37,self-winding,Oyster,Oystersteel,,,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m268622-0002",
,Rolex,Yacht-Master 37,268622,,,"12,343.14",Slate,Oystersteel,37,self-winding,Oyster,Oystersteel,,,,https://d5ee3ksv7elb9.cloudfront.net/user_documents/1776253043_42200.png,
,Rolex,Yacht-Master 37,268622,,,"12,343.14",Slate,Oystersteel,37,self-winding,Oyster,Oystersteel,,,,https://d5ee3ksv7elb9.cloudfront.net/user_documents/1776253021_68331.png,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
